timestamp,temp_c,humidity,solar_irradiance,actual_demand_mw
2023-01-01 00:00:00,8.0,95,0.0,3689.227821234452
2023-01-01 01:00:00,8.0,95,0.0,3621.240392075835
2023-01-01 02:00:00,8.1,95,0.0,3800.8116619607854
2023-01-01 03:00:00,9.5,90,201.0,3815.387004955412
2023-01-01 04:00:00,12.0,84,445.4,3344.2091970962642
2023-01-01 05:00:00,14.4,75,592.7,3287.1711723214194
2023-01-01 06:00:00,16.2,68,669.3,3736.881922326109
2023-01-01 07:00:00,17.3,63,698.3,3822.170445454953
2023-01-01 08:00:00,18.0,60,694.2,3829.5788421097573
2023-01-01 09:00:00,18.3,56,654.4,4147.0694314871325
2023-01-01 10:00:00,18.2,55,551.4,4123.307669105682
2023-01-01 11:00:00,17.4,62,339.7,4202.881197995716
2023-01-01 12:00:00,16.8,63,147.6,4336.294340734905
2023-01-01 13:00:00,15.8,67,0.0,3985.7486243325848
2023-01-01 14:00:00,14.9,71,0.0,3936.471291173917
2023-01-01 15:00:00,12.0,82,0.0,4260.674498867857
2023-01-01 16:00:00,10.6,85,0.0,4225.588109827517
2023-01-01 17:00:00,10.8,82,0.0,4201.596742243725
2023-01-01 18:00:00,11.2,78,0.0,3752.7056502355767
2023-01-01 19:00:00,9.3,86,0.0,3767.1812450037355
2023-01-01 20:00:00,8.6,90,0.0,4126.71665685107
2023-01-01 21:00:00,8.1,92,0.0,3796.9268342510145
2023-01-01 22:00:00,7.3,95,0.0,3862.6024457418816
2023-01-01 23:00:00,8.9,92,0.0,3267.9668090956948
2023-01-02 00:00:00,6.5,95,0.0,3818.7750956531104
2023-01-02 01:00:00,6.7,95,0.0,3904.973544649353
2023-01-02 02:00:00,6.3,95,0.0,3874.6920238993025
2023-01-02 03:00:00,8.8,91,215.8,3762.460110408975
2023-01-02 04:00:00,12.1,83,414.4,3276.288387565251
2023-01-02 05:00:00,15.0,73,635.7,3249.190701448992
2023-01-02 06:00:00,16.6,65,702.3,3409.7440081655905
2023-01-02 07:00:00,17.5,58,707.0,3984.8969637583573
2023-01-02 08:00:00,18.0,55,700.8,3897.97541628931
2023-01-02 09:00:00,18.2,53,665.0,3907.028785605853
2023-01-02 10:00:00,17.9,53,582.7,4316.20205984303
2023-01-02 11:00:00,17.0,59,426.4,4089.614113535601
2023-01-02 12:00:00,15.2,68,178.6,4331.329539250713
2023-01-02 13:00:00,14.1,73,0.0,4030.561644287054
2023-01-02 14:00:00,13.3,76,0.0,4119.711189690296
2023-01-02 15:00:00,12.8,77,0.0,4276.1581173670065
2023-01-02 16:00:00,12.4,79,0.0,4239.389838090667
2023-01-02 17:00:00,12.2,80,0.0,3986.3740522373027
2023-01-02 18:00:00,11.7,82,0.0,3801.858551974862
2023-01-02 19:00:00,11.0,86,0.0,3665.64347996173
2023-01-02 20:00:00,10.4,90,0.0,3386.3954364312613
2023-01-02 21:00:00,9.5,93,0.0,3478.955895235002
2023-01-02 22:00:00,8.5,98,0.0,3562.6584554735314
2023-01-02 23:00:00,7.8,99,0.0,3837.345096849865
2023-01-03 00:00:00,6.0,98,0.0,4051.9840734868426
2023-01-03 01:00:00,6.5,99,0.0,3663.2358199962227
2023-01-03 02:00:00,6.7,99,0.0,4016.8680896057963
2023-01-03 03:00:00,7.8,96,14.4,3828.069656936597
2023-01-03 04:00:00,9.7,93,56.5,3618.098878594146
2023-01-03 05:00:00,11.1,92,122.8,3788.008723746001
2023-01-03 06:00:00,13.6,78,395.8,3750.7515022665257
2023-01-03 07:00:00,15.3,67,681.4,3846.7472539494465
2023-01-03 08:00:00,16.2,62,700.7,3774.117371516604
2023-01-03 09:00:00,16.6,59,666.3,4019.303568571556
2023-01-03 10:00:00,16.5,57,584.3,4242.5098377380855
2023-01-03 11:00:00,15.8,61,433.2,4419.072430099608
2023-01-03 12:00:00,11.9,81,184.8,4520.577902038785
2023-01-03 13:00:00,10.7,87,0.0,4707.280382592842
